id,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,lane_kf,type_most_common,vAlpha0_ped,tauAlpha_ped,A_pp,B_pp,A_wall,B_wall,m_gamma,tau_gamma,v_gamma0,a_gamma_max,b_gamma,eta_gamma,mu_gamma,eps_m,A_w,B_w,A_s,B_s,T_i
8781,0.764259725,0.000743267,0.027262919,0.015181536,0.029032957,0.001100663,0.308455708,0.999995207,0.764259725,40,0,1.358,0.5,2733.112204,1.790861496,1376.916758,0.411285461,200,0.5,3.073,4,4,0.3,1.2,0.665713155,2655.912422,1.901754384,1819.900502,1.719760933,0.97
8791,0.949091479,0.000755482,0.027486031,0.015829859,0.025501811,0.001251946,0.053639214,0.999995895,0.949091479,39,0,1.358,0.5,2490.814819,1.906222377,791.5655681,1.308435194,200,0.5,3.073,4,4,0.3,1.2,2.560746317,748.4082639,0.982892039,2448.773361,1.907146116,0.97
8792,0.932799018,0.000750441,0.02739417,0.0156429,0.027405085,0.001328152,0.072042295,0.99999553,0.932799018,39,0,1.358,0.5,2928.5473,1.560438329,2519.937379,0.433608526,200,0.5,3.073,4,4,0.3,1.2,3.083245349,2498.13695,0.426101173,1836.865037,1.363482236,0.97
8794,0.844950028,0.000777551,0.027884594,0.015753926,0.032526347,0.001151653,0.183501943,0.999994539,0.844950028,39,0,1.358,0.5,2591.491052,1.927665965,1386.866522,1.476143715,200,0.5,3.073,4,4,0.3,1.2,4.124876213,1047.186747,0.087773525,2753.112963,0.367206089,0.97
8793,0.796956605,0.000602301,0.024541828,0.013115712,0.027451485,0.000957462,0.254773464,0.999996071,0.796956605,40,0,1.358,0.5,2999.633207,1.687066928,688.0184109,1.87277777,200,0.5,3.073,4,4,0.3,1.2,4.794850637,1166.995107,0.796982902,981.697419,0.842086237,0.97
8796,0.837968972,0.000758281,0.027536899,0.015379624,0.032274667,0.001177665,0.193361608,0.999994853,0.837968972,39,0,1.358,0.5,2993.421028,1.73529491,1200.132957,1.063661652,200,0.5,3.073,4,4,0.3,1.2,3.788491862,2827.289944,0.291210078,2682.334426,1.664198093,0.97
8797,0.922970753,0.000667664,0.025839187,0.013678336,0.028133895,0.001214144,0.083457951,0.999995448,0.922970753,39,0,1.358,0.5,2841.306501,1.457359962,1838.779882,0.784546992,200,0.5,3.073,4,4,0.3,1.2,0.635022308,1071.559487,1.968582156,2481.355386,0.447076818,0.97
8798,0.942359675,0.000459894,0.021445148,0.012011114,0.024919195,0.00089971,0.06116595,0.999997013,0.942359675,39,0,1.358,0.5,2629.936865,1.947314904,2902.749848,1.988442141,200,0.5,3.073,4,4,0.3,1.2,4.056744269,1296.384289,1.12558989,1959.935229,0.694793264,0.97
8799,0.963159158,0.000296512,0.017219514,0.00889451,0.01950903,0.000737454,0.038250005,0.999997722,0.963159158,39,0,1.358,0.5,2798.742073,1.710157687,2383.543839,0.106130465,200,0.5,3.073,4,4,0.3,1.2,2.203433588,1165.807414,0.795806834,631.3207907,1.396160797,0.97
8800,0.040667721,0.092146587,0.303556562,0.022168701,0.043262213,0.011035136,23.58952618,0.999321985,0.040667721,41,0,1.358,0.5,2868.299928,1.997869487,1007.071159,1.120933017,200,0.5,3.073,4,4,0.3,1.2,4.548443494,992.4310706,1.7853381,1310.605624,1.439366209,0.97
8802,0.997117752,0.000111176,0.01054401,0.006162807,0.013596472,0.004233927,0.00289058,0.999949554,0.997117752,39,0,1.358,0.5,2931.520767,0.065562971,2824.992301,1.1498473,200,0.5,3.073,4,4,0.3,1.2,2.851095722,2767.711834,0.055548834,710.2750194,0.136894259,0.97
8803,0.944296446,0.000421353,0.020526895,0.012757544,0.022595446,0.002309859,0.058989477,0.999976795,0.944296446,41,0,1.358,0.5,2988.457026,1.933581052,951.0541175,0.997652375,200,0.5,3.073,4,4,0.3,1.2,1.971717344,1355.173531,1.195697519,2337.414916,1.319061439,0.97
