id,best_fitness,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Error,Wc_pp,Wc_pb,Wc_pbar,Wc_bp,Wc_bb,Wc_bbar,eta_ped,xi_ped,tau_ped,v_pref_ped,eta_bike,xi_bike,tau_bike,v_pref_bike
9663,0.997939624,0.00206463,0.0454382,0.019185194,0.04088514,0.00175569,2.343355082,0.999985133,0.997939624,193.0693133,309.7370768,90.31790964,1809.347572,1588.537875,1509.973579,3.072954109,1.184654565,0.905706272,1.358,3.029584576,3.478472855,0.428083328,3.073
9666,0.998115519,0.001888039,0.043451572,0.018291059,0.038780844,0.001681487,1.672802672,0.999986872,0.998115519,199.1004287,285.1486548,52.561777,1720.700684,2189.833869,1100.042706,4.35036771,1.683202086,0.61039463,1.358,3.398606934,4.403859674,0.626159341,3.073
9667,0.99807177,0.001931955,0.043954008,0.01861877,0.040052313,0.001712736,1.524312386,0.999986753,0.99807177,205.8545007,237.149919,61.4440279,2160.404094,2158.607008,1421.094669,3.987297565,3.427267261,1.134140737,1.358,4.430777496,3.931653171,0.637969935,3.073
9656,0.998172087,0.00183126,0.042793228,0.017630053,0.037110132,0.001654487,1.895354443,0.99998729,0.998172087,190.5783657,243.6600054,80.97158235,1542.392621,1622.280145,1313.219302,2.299943257,3.337144836,1.194278236,1.358,4.857933131,2.146001118,0.694964286,3.073
9674,0.998109106,0.001894476,0.043525581,0.017560682,0.036879011,0.0016822,2.082029331,0.999986984,0.998109106,196.4813424,303.9241996,83.08570265,2067.456215,1907.340004,1459.956428,3.935320361,2.198681147,1.387847186,1.358,2.199488799,3.282853688,0.925204236,3.073
9675,0.998264199,0.00173882,0.041699156,0.016937236,0.035508002,0.001612187,1.657095097,0.999988147,0.998264199,192.2043428,183.0087069,25.71960849,2189.821406,2116.684809,1617.868786,4.664667851,4.418071065,1.494241871,1.358,3.339655202,3.172401732,0.712568671,3.073
9678,0.998252158,0.001750902,0.041843782,0.016881633,0.035187932,0.001617201,1.637093478,0.999988007,0.998252158,188.2565849,186.0385483,72.84947364,2235.068973,1704.707355,1220.679851,1.791003951,2.765082621,1.26731169,1.358,3.198365272,5.035137221,0.70157846,3.073
9682,0.998143541,0.001859912,0.043126694,0.018099208,0.036893045,0.001660025,2.192835976,0.999985655,0.998143541,209.5209103,216.0546393,64.32626766,1913.800498,1767.709049,1314.285812,1.147357365,3.634050275,0.802148432,1.358,3.786292967,4.652403963,0.471550145,3.073
9671,0.997958229,0.002045948,0.045232156,0.018358994,0.039782483,0.001740925,3.797279332,0.999984689,0.997958229,181.0725295,214.7225767,84.23950672,1520.310819,1635.602038,977.6393688,4.898205114,4.416840935,1.473120714,1.358,4.373989295,5.987686684,0.635637973,3.073
9646,0.998245783,0.001757299,0.041920153,0.017921591,0.038420749,0.00165701,1.845164186,0.999985269,0.998245783,202.8879155,224.957619,70.23271197,1894.059805,2069.631117,1022.649941,1.409036943,4.989685466,1.374096183,1.358,3.017288103,5.657518687,0.97903407,3.073
